sim no.,total_reads,total_in_graft,total_in_both,total_in_ambiguous,total_in_neither,total_in_host
4,60000000,12090620,8030203,877250,43,39001884
5,60000000,26557114,5548256,1075287,18,26819325
6,60000000,41025072,3074499,1272629,16,14627784
7,60000000,14983607,7536640,916003,27,36563723
8,60000000,29450255,5058178,1114459,30,24377078
9,60000000,43916319,2581011,1314023,18,12188629
10,60000000,17878375,7037948,954705,30,34128942
11,60000000,32344078,4558835,1152791,30,21944266
12,60000000,46810919,2084609,1351114,7,9753351
13,60000000,20772553,6543991,996032,33,31687391
14,60000000,29449025,5057362,1117157,24,24376432
15,60000000,35237467,4070108,1191720,20,19500685
16,60000000,23664104,6049084,1036146,32,29250634
17,60000000,49704396,1586888,1390452,4,7318260
18,60000000,38130579,3571568,1232197,19,17065637
19,60000000,52596818,1092631,1431137,5,4879409
20,60000000,55490098,596805,1471252,2,2441843
21,60000000,58384286,102144,1509471,0,4099
